epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8050.78,3.04082,0.60639,0.86818,1.52003,0.00333328,0.00333328,0.00333328
2,16079.3,1.93958,0.68387,0.9188,1.14065,0.00534663,0.00534663,0.00534663
3,24116.4,1.81149,0.70066,0.92873,1.06385,0.00603997,0.00603997,0.00603997
4,32108.3,1.58761,0.72388,0.93999,0.96417,0.00406,0.00406,0.00406
5,40159.4,1.20639,0.7631,0.95643,0.80973,0.00208,0.00208,0.00208
