epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.7456,0,1,1,0,0.000649123,0.000649123,0.000649123
2,41.0321,0,1,1,0,0.00105526,0.00105526,0.00105526
3,61.7245,0,1,1,0,0.0011974,0.0011974,0.0011974
4,79.2656,0,1,1,0,0.000812,0.000812,0.000812
5,99.7085,0,1,1,0,0.000416,0.000416,0.000416
